"site","dominant_city","dominant_state","outcome","outcome_label","coefficient","coefficient_label","estimate","se","ci_lo","ci_hi","p","observations","trials"
"KC","Olathe","KS","percent_hispanic","Hispanic Share","RACE3","Hispanic",0.142979574524857,0.0676313570168987,0.00907419443011487,0.276884954619599,0.0365766811010435,537,121
"KC","Olathe","KS","percent_hispanic","Hispanic Share","RACE4","Asian",0.0377620500112166,0.0202080120134005,-0.00224840740038587,0.077772507422819,0.0641075259323564,537,121
"KC","Olathe","KS","percent_asian","Asian Share","RACE2","African American",0.0420009203781562,0.0131356593901241,0.015993228960843,0.0680086117954694,0.00177281445334938,537,121
"KC","Olathe","KS","percent_asian","Asian Share","RACE3","Hispanic",0.00324667204189933,0.012136524740374,-0.0207828023036022,0.0272761463874009,0.789533832229049,537,121
"KC","Olathe","KS","percent_asian","Asian Share","RACE4","Asian",-0.00456003865937417,0.0106569553818417,-0.0256600686454892,0.0165399913267409,0.669495828036879,537,121
"LA","Long Beach","CA","w2012pc_Rec","White Share","RACE2","African American",-0.00843391231977826,0.0560669314670972,-0.119989519058057,0.103121694418501,0.880802661297991,579,82
"LA","Long Beach","CA","w2012pc_Rec","White Share","RACE3","Hispanic",-0.122755847850134,0.0995686348915604,-0.320866198939145,0.0753545032388776,0.221187999037971,579,82
"LA","Long Beach","CA","w2012pc_Rec","White Share","RACE4","Asian",-0.247482195436906,0.0644297173954,-0.375677122962726,-0.119287267911085,0.000242161030623865,579,82
"LA","Long Beach","CA","percent_black","Black Share","RACE2","African American",0.0119276801035785,0.0177067725167022,-0.0233032430054665,0.0471586032126236,0.502469034748461,579,82
"LA","Long Beach","CA","percent_black","Black Share","RACE3","Hispanic",-0.0180465510418214,0.0483187985265564,-0.11418580363598,0.0780927015523374,0.709760097841147,579,82
"LA","Long Beach","CA","percent_black","Black Share","RACE4","Asian",0.0197955242110714,0.0228744507949741,-0.0257174576922765,0.0653085061144193,0.389375811896502,579,82
"LA","Long Beach","CA","percent_hispanic","Hispanic Share","RACE2","African American",-0.0237955314702253,0.0462302790131894,-0.115779285352365,0.0681882224119143,0.608152166770956,579,82
"LA","Long Beach","CA","percent_hispanic","Hispanic Share","RACE3","Hispanic",0.152385183667395,0.0803992252687123,-0.00758405526629297,0.312354422601082,0.0616123463171987,579,82
"LA","Long Beach","CA","percent_hispanic","Hispanic Share","RACE4","Asian",0.205716010946572,0.0574779576605161,0.0913529046892081,0.320079117203936,0.000586001705232522,579,82
"LA","Long Beach","CA","percent_asian","Asian Share","RACE2","African American",0.0142911041846258,0.0195943366067353,-0.0246954793790063,0.0532776877482579,0.467892196903312,579,82
"LA","Long Beach","CA","percent_asian","Asian Share","RACE3","Hispanic",0.0274704042156489,0.0514751070575597,-0.0749489122952575,0.129889720726555,0.595035587839475,579,82
"LA","Long Beach","CA","percent_asian","Asian Share","RACE4","Asian",0.0373485898220259,0.030699969338418,-0.0237347193011707,0.0984318989452226,0.227301865406461,579,82
"MI","Miami","FL","w2012pc_Rec","White Share","RACE2","African American",-0.00969124873518754,0.0200368592611842,-0.0495102960679874,0.0301277985976123,0.629820726256658,432,89
"MI","Miami","FL","w2012pc_Rec","White Share","RACE3","Hispanic",-0.190519321556342,0.179169677062789,-0.546581404868296,0.165542761755613,0.290534422347219,432,89
"MI","Miami","FL","percent_black","Black Share","RACE2","African American",-0.0168647062630297,0.0187541377271884,-0.0541346140919191,0.0204052015658597,0.370972250798803,432,89
"MI","Miami","FL","percent_black","Black Share","RACE3","Hispanic",0.327066150791946,0.167777245298638,-0.00635586833932933,0.660488169923222,0.0544314245434756,432,89
"MI","Miami","FL","percent_hispanic","Hispanic Share","RACE2","African American",0.03359717580069,0.0285414319800911,-0.0231229227011132,0.0903172743024933,0.242314858367478,432,89
"MI","Miami","FL","percent_hispanic","Hispanic Share","RACE3","Hispanic",-0.152626346233441,0.176531751506067,-0.503446106822343,0.198193414355461,0.389618399697886,432,89
"MI","Miami","FL","percent_asian","Asian Share","RACE2","African American",-0.00536518746680082,0.00316662069344811,-0.0116581806766549,0.000927805743053259,0.09374586342024,432,89
"MI","Miami","FL","percent_asian","Asian Share","RACE3","Hispanic",-0.0183243909333087,0.0242223116946038,-0.0664611454667763,0.029812363600159,0.451364797640824,432,89
"MS","East Brunswick","NJ","w2012pc_Rec","White Share","RACE2","African American",-0.0628188934866756,0.0496523810295112,-0.161161690437732,0.0355239034643807,0.208344594492828,943,117
"MS","East Brunswick","NJ","w2012pc_Rec","White Share","RACE3","Hispanic",0.022940416291407,0.0674446434085774,-0.110642198170202,0.156523030753016,0.734368535082091,943,117
"MS","East Brunswick","NJ","w2012pc_Rec","White Share","RACE4","Asian",0.0511716044297939,0.0728306338035042,-0.0930786426570024,0.19542185151659,0.48370579744148,943,117
"MS","East Brunswick","NJ","percent_black","Black Share","RACE2","African American",0.0116161348163571,0.0231647186045996,-0.0342645091915606,0.0574967788242749,0.616999142449843,943,117
"MS","East Brunswick","NJ","percent_black","Black Share","RACE3","Hispanic",-0.0401015465308166,0.0285405540647354,-0.0966297100360209,0.0164266169743878,0.162672108493454,943,117
"MS","East Brunswick","NJ","percent_black","Black Share","RACE4","Asian",-0.0106902200932209,0.0272831539905359,-0.0647279443159719,0.04334750412953,0.695906468838576,943,117
"MS","East Brunswick","NJ","percent_hispanic","Hispanic Share","RACE2","African American",0.0151557969941976,0.0167593012132434,-0.0180381107717964,0.0483497047601915,0.367699217323911,943,117
